Season,Category,Stat,Value
2015-2016,Performance,PK,6
2015-2016,Performance,PKatt,9
2015-2016,Performance,CrdY,10
2015-2016,Performance,CrdR,0
2015-2016,Expected,xG,N/A
2015-2016,Expected,npxG,N/A
2015-2016,Expected,xAG,N/A
2015-2016,Expected,npxG+xAG,N/A
2015-2016,Progression,PrgC,N/A
2015-2016,Progression,PrgP,N/A
2015-2016,Progression,PrgR,N/A
2015-2016,Per 90 Minutes,Gls,0.64
2015-2016,Per 90 Minutes,Ast,0.35
2015-2016,Per 90 Minutes,G+A,0.99
2015-2016,Per 90 Minutes,G-PK,0.52
2015-2016,Per 90 Minutes,G+A-PK,0.87
2015-2016,Per 90 Minutes,xG,N/A
2015-2016,Per 90 Minutes,xAG,N/A
2015-2016,Per 90 Minutes,xG+xAG,N/A
2015-2016,Per 90 Minutes,npxG,N/A
2015-2016,Per 90 Minutes,npxG+xAG,N/A
2016-2017,General,Age,24
2016-2017,General,Squad,Barcelona
2016-2017,General,Comp,3 Leagues
2016-2017,General,Matches,N/A
2016-2017,Playing Time,MP,45
2016-2017,Playing Time,Starts,45
2016-2017,Playing Time,Min,"3,965"
2016-2017,Playing Time,90s,44.1
2016-2017,Performance,Gls,20
2016-2017,Performance,Ast,20
2016-2017,Performance,G+A,40
2016-2017,Performance,G-PK,16
2016-2017,Performance,PK,4
2016-2017,Performance,PKatt,5
2016-2017,Performance,CrdY,15
2016-2017,Performance,CrdR,1
2016-2017,Expected,xG,N/A
2016-2017,Expected,npxG,N/A
2016-2017,Expected,xAG,N/A
2016-2017,Expected,npxG+xAG,N/A
2016-2017,Progression,PrgC,N/A
2016-2017,Progression,PrgP,N/A
2016-2017,Progression,PrgR,N/A
2016-2017,Per 90 Minutes,Gls,0.45
2016-2017,Per 90 Minutes,Ast,0.45
2016-2017,Per 90 Minutes,G+A,0.91
2016-2017,Per 90 Minutes,G-PK,0.36
2016-2017,Per 90 Minutes,G+A-PK,0.82
2016-2017,Per 90 Minutes,xG,N/A
2016-2017,Per 90 Minutes,xAG,N/A
2016-2017,Per 90 Minutes,xG+xAG,N/A
2016-2017,Per 90 Minutes,npxG,N/A
2016-2017,Per 90 Minutes,npxG+xAG,N/A
2017-2018,General,Age,25
2017-2018,General,Squad,Paris S-G
2017-2018,General,Comp,4 Leagues
2017-2018,General,Matches,N/A
2017-2018,Playing Time,MP,30
2017-2018,Playing Time,Starts,30
2017-2018,Playing Time,Min,"2,686"
2017-2018,Playing Time,90s,29.8
2017-2018,Performance,Gls,28
2017-2018,Performance,Ast,17
2017-2018,Performance,G+A,45
2017-2018,Performance,G-PK,23
2017-2018,Performance,PK,5
2017-2018,Performance,PKatt,5
2017-2018,Performance,CrdY,8
2017-2018,Performance,CrdR,1
2017-2018,Expected,xG,19.3
2017-2018,Expected,npxG,16.1
2017-2018,Expected,xAG,14.3
2017-2018,Expected,npxG+xAG,30.5
2017-2018,Progression,PrgC,205
2017-2018,Progression,PrgP,257
2017-2018,Progression,PrgR,301
2017-2018,Per 90 Minutes,Gls,0.94
2017-2018,Per 90 Minutes,Ast,0.57
2017-2018,Per 90 Minutes,G+A,1.51
2017-2018,Per 90 Minutes,G-PK,0.77
2017-2018,Per 90 Minutes,G+A-PK,1.34
2017-2018,Per 90 Minutes,xG,0.72
2017-2018,Per 90 Minutes,xAG,0.53
2017-2018,Per 90 Minutes,xG+xAG,1.25
2017-2018,Per 90 Minutes,npxG,0.60
2017-2018,Per 90 Minutes,npxG+xAG,1.14
2018-2019,General,Age,26
2018-2019,General,Squad,Paris S-G
2018-2019,General,Comp,5 Leagues
2018-2019,General,Matches,N/A
2018-2019,Playing Time,MP,28
2018-2019,Playing Time,Starts,26
2018-2019,Playing Time,Min,"2,346"
2018-2019,Playing Time,90s,26.1
2018-2019,Performance,Gls,23
2018-2019,Performance,Ast,11
2018-2019,Performance,G+A,34
2018-2019,Performance,G-PK,18
2018-2019,Performance,PK,5
2018-2019,Performance,PKatt,5
2018-2019,Performance,CrdY,7
2018-2019,Performance,CrdR,0
2018-2019,Expected,xG,14.4
2018-2019,Expected,npxG,10.5
2018-2019,Expected,xAG,9.4
2018-2019,Expected,npxG+xAG,19.9
2018-2019,Progression,PrgC,172
2018-2019,Progression,PrgP,236
2018-2019,Progression,PrgR,174
2018-2019,Per 90 Minutes,Gls,0.88
2018-2019,Per 90 Minutes,Ast,0.42
2018-2019,Per 90 Minutes,G+A,1.30
2018-2019,Per 90 Minutes,G-PK,0.69
2018-2019,Per 90 Minutes,G+A-PK,1.11
2018-2019,Per 90 Minutes,xG,0.66
2018-2019,Per 90 Minutes,xAG,0.43
2018-2019,Per 90 Minutes,xG+xAG,1.09
2018-2019,Per 90 Minutes,npxG,0.48
2018-2019,Per 90 Minutes,npxG+xAG,0.91
2019-2020,General,Age,27
2019-2020,General,Squad,Paris S-G
2019-2020,General,Comp,4 Leagues
2019-2020,General,Matches,N/A
2019-2020,Playing Time,MP,27
2019-2020,Playing Time,Starts,26
2019-2020,Playing Time,Min,"2,383"
2019-2020,Playing Time,90s,26.5
2019-2020,Performance,Gls,19
2019-2020,Performance,Ast,11
2019-2020,Performance,G+A,30
2019-2020,Performance,G-PK,14
2019-2020,Performance,PK,5
2019-2020,Performance,PKatt,6
2019-2020,Performance,CrdY,8
2019-2020,Performance,CrdR,1
2019-2020,Expected,xG,18.9
2019-2020,Expected,npxG,15.0
2019-2020,Expected,xAG,8.5
2019-2020,Expected,npxG+xAG,23.5
2019-2020,Progression,PrgC,156
2019-2020,Progression,PrgP,208
2019-2020,Progression,PrgR,211
2019-2020,Per 90 Minutes,Gls,0.72
2019-2020,Per 90 Minutes,Ast,0.42
2019-2020,Per 90 Minutes,G+A,1.13
2019-2020,Per 90 Minutes,G-PK,0.53
2019-2020,Per 90 Minutes,G+A-PK,0.94
2019-2020,Per 90 Minutes,xG,0.90
2019-2020,Per 90 Minutes,xAG,0.40
2019-2020,Per 90 Minutes,xG+xAG,1.30
2019-2020,Per 90 Minutes,npxG,0.71
2019-2020,Per 90 Minutes,npxG+xAG,1.11
2020-2021,General,Age,28
2020-2021,General,Squad,Paris S-G
2020-2021,General,Comp,4 Leagues
2020-2021,General,Matches,N/A
2020-2021,Playing Time,MP,31
2020-2021,Playing Time,Starts,26
2020-2021,Playing Time,Min,"2,349"
2020-2021,Playing Time,90s,26.1
2020-2021,Performance,Gls,17
2020-2021,Performance,Ast,8
2020-2021,Performance,G+A,25
2020-2021,Performance,G-PK,10
2020-2021,Performance,PK,7
2020-2021,Performance,PKatt,8
2020-2021,Performance,CrdY,11
2020-2021,Performance,CrdR,2
2020-2021,Expected,xG,18.3
2020-2021,Expected,npxG,12.7
2020-2021,Expected,xAG,9.3
2020-2021,Expected,npxG+xAG,22.0
2020-2021,Progression,PrgC,144
2020-2021,Progression,PrgP,218
2020-2021,Progression,PrgR,210
2020-2021,Per 90 Minutes,Gls,0.65
2020-2021,Per 90 Minutes,Ast,0.31
2020-2021,Per 90 Minutes,G+A,0.96
2020-2021,Per 90 Minutes,G-PK,0.38
2020-2021,Per 90 Minutes,G+A-PK,0.69
2020-2021,Per 90 Minutes,xG,0.76
2020-2021,Per 90 Minutes,xAG,0.39
2020-2021,Per 90 Minutes,xG+xAG,1.15
2020-2021,Per 90 Minutes,npxG,0.53
2020-2021,Per 90 Minutes,npxG+xAG,0.92
2021-2022,General,Age,29
2021-2022,General,Squad,Paris S-G
2021-2022,General,Comp,2 Leagues
2021-2022,General,Matches,N/A
2021-2022,Playing Time,MP,28
2021-2022,Playing Time,Starts,27
2021-2022,Playing Time,Min,"2,320"
2021-2022,Playing Time,90s,25.8
2021-2022,Performance,Gls,13
2021-2022,Performance,Ast,8
2021-2022,Performance,G+A,21
2021-2022,Performance,G-PK,10
2021-2022,Performance,PK,3
2021-2022,Performance,PKatt,4
2021-2022,Performance,CrdY,11
2021-2022,Performance,CrdR,0
2021-2022,Expected,xG,11.7
2021-2022,Expected,npxG,8.6
2021-2022,Expected,xAG,8.6
2021-2022,Expected,npxG+xAG,17.2
2021-2022,Progression,PrgC,108
2021-2022,Progression,PrgP,173
2021-2022,Progression,PrgR,279
2021-2022,Per 90 Minutes,Gls,0.50
2021-2022,Per 90 Minutes,Ast,0.31
2021-2022,Per 90 Minutes,G+A,0.81
2021-2022,Per 90 Minutes,G-PK,0.39
2021-2022,Per 90 Minutes,G+A-PK,0.70
2021-2022,Per 90 Minutes,xG,0.45
2021-2022,Per 90 Minutes,xAG,0.34
2021-2022,Per 90 Minutes,xG+xAG,0.79
2021-2022,Per 90 Minutes,npxG,0.33
2021-2022,Per 90 Minutes,npxG+xAG,0.67
2022-2023,General,Age,30
2022-2023,General,Squad,Paris S-G
2022-2023,General,Comp,4 Leagues
2022-2023,General,Matches,N/A
2022-2023,Playing Time,MP,29
2022-2023,Playing Time,Starts,27
2022-2023,Playing Time,Min,"2,354"
2022-2023,Playing Time,90s,26.2
2022-2023,Performance,Gls,18
2022-2023,Performance,Ast,14
2022-2023,Performance,G+A,30
2022-2023,Performance,G-PK,15
2022-2023,Performance,PK,3
2022-2023,Performance,PKatt,3
2022-2023,Performance,CrdY,11
2022-2023,Performance,CrdR,1
2022-2023,Expected,xG,10.2
2022-2023,Expected,npxG,8.6
2022-2023,Expected,xAG,10.4
2022-2023,Expected,npxG+xAG,19.0
2022-2023,Progression,PrgC,106
2022-2023,Progression,PrgP,218
2022-2023,Progression,PrgR,158
2022-2023,Per 90 Minutes,Gls,0.69
2022-2023,Per 90 Minutes,Ast,0.56
2022-2023,Per 90 Minutes,G+A,1.19
2022-2023,Per 90 Minutes,G-PK,0.57
2022-2023,Per 90 Minutes,G+A-PK,1.11
2022-2023,Per 90 Minutes,xG,0.44
2022-2023,Per 90 Minutes,xAG,0.45
2022-2023,Per 90 Minutes,xG+xAG,0.89
2022-2023,Per 90 Minutes,npxG,0.37
2022-2023,Per 90 Minutes,npxG+xAG,0.82
2023-2024,General,Age,31
2023-2024,General,Squad,Al-Hilal
2023-2024,General,Comp,1 League
2023-2024,General,Matches,N/A
2023-2024,Playing Time,MP,3
2023-2024,Playing Time,Starts,2
2023-2024,Playing Time,Min,207
2023-2024,Playing Time,90s,2.3
2023-2024,Performance,Gls,0
2023-2024,Performance,Ast,2
2023-2024,Performance,G+A,2
2023-2024,Performance,G-PK,0
2023-2024,Performance,PK,0
2023-2024,Performance,PKatt,1
2023-2024,Performance,CrdY,0
2023-2024,Performance,CrdR,0
2023-2024,Expected,xG,N/A
2023-2024,Expected,npxG,N/A
2023-2024,Expected,xAG,N/A
2023-2024,Expected,npxG+xAG,N/A
2023-2024,Progression,PrgC,N/A
2023-2024,Progression,PrgP,N/A
2023-2024,Progression,PrgR,N/A
2023-2024,Per 90 Minutes,Gls,0.00
2023-2024,Per 90 Minutes,Ast,0.87
2023-2024,Per 90 Minutes,G+A,0.87
2023-2024,Per 90 Minutes,G-PK,0.00
2023-2024,Per 90 Minutes,G+A-PK,0.87
2023-2024,Per 90 Minutes,xG,N/A
2023-2024,Per 90 Minutes,xAG,N/A
2023-2024,Per 90 Minutes,xG+xAG,N/A
2023-2024,Per 90 Minutes,npxG,N/A
2023-2024,Per 90 Minutes,npxG+xAG,N/A
2025,General,Age,32
2025,General,Squad,Santos
2025,General,Comp,1 League
2025,General,Matches,N/A
2025,Playing Time,MP,15
2025,Playing Time,Starts,12
2025,Playing Time,Min,"1,087"
2025,Playing Time,90s,12.1
2025,Performance,Gls,3
2025,Performance,Ast,0
2025,Performance,G+A,3
2025,Performance,G-PK,2
2025,Performance,PK,1
2025,Performance,PKatt,1
2025,Performance,CrdY,8
2025,Performance,CrdR,1
2025,Expected,xG,4.6
2025,Expected,npxG,3.8
2025,Expected,xAG,2.0
2025,Expected,npxG+xAG,5.7
2025,Progression,PrgC,44
2025,Progression,PrgP,98
2025,Progression,PrgR,63
2025,Per 90 Minutes,Gls,0.25
2025,Per 90 Minutes,Ast,0.00
2025,Per 90 Minutes,G+A,0.25
2025,Per 90 Minutes,G-PK,0.17
2025,Per 90 Minutes,G+A-PK,0.17
2025,Per 90 Minutes,xG,0.38
2025,Per 90 Minutes,xAG,0.16
2025,Per 90 Minutes,xG+xAG,0.54
2025,Per 90 Minutes,npxG,0.31
2025,Per 90 Minutes,npxG+xAG,0.48
